As measured,Multimeter,Error
30,31.3,1.3
38,38.5,0.5
50,51,1
88,87.3,0.700000000000003
103,101.9,1.09999999999999
135,133.6,1.40000000000001
136,133.9,2.09999999999999
99,97,2
88,88.1,0.099999999999994
81,80.5,0.5
72,70.3,1.7
121,121.3,0.299999999999997
129,129.7,0.699999999999989
137,137.2,0.199999999999989
147,145.4,1.59999999999999
151,150.9,0.099999999999994
159,157.2,1.80000000000001
160,158,2
162,159,3
163,162.1,0.900000000000006
166,165.5,0.5
169,168.3,0.699999999999989
172,170.8,1.19999999999999
175,174.8,0.199999999999989
179,180.8,1.80000000000001
188,187.1,0.900000000000006
191,190.9,0.099999999999994
195,193.2,1.80000000000001
204,203.4,0.599999999999994
209,207.8,1.19999999999999
219,218.3,0.699999999999989
224,223.6,0.400000000000006
